                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91334,                0.60187,                 1.1076,                  1.446,                 1.0044,                 1.1209,                0.80113,                0.70501,                0.74927,                0.58684,                 1.1224,                0.77895,                 1.2288,                 1.4364,                 1.1078,                 1.1853,              0.0032843,              0.0032843,              0.0032843
                      2,                0.92642,                0.61419,                 1.1185,                 1.4473,                 1.0192,                 1.1302,                0.77343,                 0.7133,                0.74496,                0.57656,                 1.1024,                0.76739,                 1.2375,                 1.4397,                  1.104,                 1.2071,              0.0066111,              0.0066111,              0.0066111
                      3,                0.95257,                0.63292,                 1.1247,                 1.4945,                 1.0475,                 1.1335,                0.78049,                0.70259,                0.74119,                0.57164,                 1.1405,                 0.8059,                 1.2502,                 1.4681,                  1.131,                  1.213,              0.0099313,              0.0099313,              0.0099313
                      4,                0.96186,                0.63942,                 1.1285,                 1.5026,                 1.0478,                 1.1391,                0.77244,                0.69199,                 0.7386,                0.56136,                 1.1764,                 0.8582,                  1.263,                 1.5066,                 1.2042,                 1.2338,              0.0099703,              0.0099703,              0.0099703
                      5,                0.96595,                0.64325,                 1.1299,                 1.5107,                 1.0502,                 1.1401,                0.77143,                0.70268,                 0.7372,                0.55278,                 1.1649,                0.84413,                 1.2308,                 1.5111,                 1.1465,                 1.2302,              0.0099703,              0.0099703,              0.0099703
                      6,                0.98986,                0.65567,                 1.1383,                 1.5376,                 1.0712,                 1.1495,                0.79423,                 0.7133,                0.74493,                 0.5621,                 1.1772,                0.81525,                 1.2651,                 1.5147,                  1.123,                 1.2606,              0.0099604,              0.0099604,              0.0099604
                      7,                0.97842,                 0.6546,                 1.1438,                 1.5133,                 1.0735,                 1.1532,                0.76056,                0.69833,                0.73772,                0.54267,                 1.1911,                0.82734,                 1.2517,                 1.5509,                 1.1348,                 1.2545,              0.0099505,              0.0099505,              0.0099505
                      8,                0.98218,                 0.6583,                 1.1394,                 1.5457,                 1.0737,                 1.1504,                0.78014,                0.68393,                0.73549,                0.54388,                 1.2364,                0.90007,                 1.3185,                 1.5583,                 1.2376,                 1.2946,              0.0099406,              0.0099406,              0.0099406
                      9,                0.97224,                0.65219,                 1.1333,                 1.5202,                 1.0743,                 1.1457,                0.76267,                0.69497,                 0.7307,                 0.5622,                 1.1527,                0.82666,                 1.2421,                 1.4995,                 1.1762,                 1.2113,              0.0099307,              0.0099307,              0.0099307
                     10,                0.97831,                0.65029,                 1.1429,                 1.5185,                 1.0581,                  1.157,                0.77978,                0.70545,                0.73668,                0.56046,                 1.1889,                0.82104,                 1.2906,                 1.5404,                 1.1577,                 1.2475,              0.0099208,              0.0099208,              0.0099208
                     11,                0.98948,                0.66244,                 1.1453,                 1.5207,                 1.0823,                 1.1539,                0.73483,                0.68025,                0.72446,                0.52404,                 1.1918,                0.85362,                 1.2858,                 1.5359,                 1.1928,                 1.2884,              0.0099109,              0.0099109,              0.0099109
                     12,                0.97684,                0.65785,                 1.1323,                 1.5243,                 1.0802,                 1.1441,                0.76957,                0.71715,                0.73721,                0.54967,                 1.2276,                 0.8429,                 1.3593,                 1.5721,                 1.1944,                 1.2649,               0.009901,               0.009901,               0.009901
                     13,                 1.0029,                0.66325,                 1.1442,                 1.5621,                 1.0946,                  1.156,                0.77682,                0.71475,                0.74445,                0.56979,                 1.1617,                0.79016,                 1.2958,                 1.4811,                 1.1633,                 1.2249,              0.0098911,              0.0098911,              0.0098911
                     14,                0.97677,                0.64359,                   1.13,                 1.5177,                  1.045,                 1.1408,                0.78079,                0.70737,                0.73827,                0.55911,                 1.1952,                0.84078,                  1.317,                 1.5225,                 1.1501,                 1.2446,              0.0098812,              0.0098812,              0.0098812
                     15,                 0.9856,                0.65824,                 1.1351,                 1.5288,                 1.0799,                 1.1455,                0.77508,                0.70435,                0.73392,                0.55424,                 1.2175,                0.81467,                 1.3081,                 1.5524,                 1.1168,                 1.2446,              0.0098713,              0.0098713,              0.0098713
                     16,                0.97122,                 0.6535,                 1.1404,                  1.511,                 1.0626,                 1.1505,                0.79283,                0.70901,                0.73894,                0.54729,                 1.1597,                0.80216,                 1.2772,                 1.4943,                 1.1301,                 1.2692,              0.0098614,              0.0098614,              0.0098614
                     17,                0.98585,                0.65453,                 1.1378,                 1.5322,                 1.0708,                 1.1456,                0.77089,                0.69645,                0.73306,                0.53249,                 1.2065,                0.89483,                 1.2974,                 1.5649,                 1.2542,                 1.2755,              0.0098515,              0.0098515,              0.0098515
                     18,                0.98159,                0.65493,                 1.1367,                 1.5426,                 1.0837,                 1.1477,                0.70173,                0.69697,                0.73155,                 0.5536,                 1.1713,                 0.8378,                  1.289,                  1.499,                 1.1993,                 1.2304,              0.0098416,              0.0098416,              0.0098416
                     19,                0.97549,                0.65296,                 1.1394,                 1.5061,                 1.0633,                 1.1517,                0.76964,                0.71124,                0.74337,                0.54435,                 1.1949,                0.83531,                 1.3069,                 1.5224,                  1.153,                  1.238,              0.0098317,              0.0098317,              0.0098317
                     20,                0.97615,                0.64884,                 1.1376,                  1.528,                 1.0619,                 1.1495,                0.81593,                 0.7027,                0.74923,                 0.5501,                 1.2059,                0.80849,                 1.3351,                 1.5374,                 1.1426,                 1.2643,              0.0098218,              0.0098218,              0.0098218
                     21,                0.97631,                 0.6432,                 1.1337,                 1.5192,                  1.053,                 1.1412,                0.75876,                0.71448,                0.73487,                0.53997,                 1.2118,                0.88158,                 1.2653,                 1.5327,                 1.1903,                 1.2555,              0.0098119,              0.0098119,              0.0098119
                     22,                0.97829,                0.64508,                 1.1247,                 1.5315,                 1.0607,                 1.1352,                0.81513,                0.69601,                0.74505,                0.55887,                 1.2148,                0.83596,                 1.3074,                  1.552,                 1.1707,                 1.2603,               0.009802,               0.009802,               0.009802
                     23,                 0.9761,                0.65816,                 1.1421,                 1.5246,                 1.0834,                 1.1527,                0.74923,                0.68974,                  0.726,                0.48493,                 1.2383,                  0.883,                 1.3169,                 1.5692,                 1.2278,                 1.2794,              0.0097921,              0.0097921,              0.0097921
                     24,                0.97794,                   0.65,                 1.1363,                 1.5347,                 1.0646,                 1.1446,                0.80289,                0.72245,                0.74845,                0.56068,                 1.1618,                0.81186,                 1.3255,                 1.5108,                 1.1844,                 1.2884,              0.0097822,              0.0097822,              0.0097822
                     25,                0.97725,                0.65014,                 1.1351,                   1.53,                 1.0646,                 1.1491,                0.74234,                0.70047,                0.72037,                0.55874,                 1.1682,                0.85674,                 1.2669,                 1.5165,                 1.2156,                 1.2452,              0.0097723,              0.0097723,              0.0097723
                     26,                0.97284,                0.64223,                 1.1369,                 1.4998,                 1.0502,                  1.147,                0.74894,                0.68724,                0.72941,                0.54008,                 1.1848,                0.82408,                 1.2627,                 1.5118,                 1.1609,                 1.2318,              0.0097624,              0.0097624,              0.0097624
                     27,                0.97532,                 0.6476,                 1.1321,                 1.5157,                 1.0559,                 1.1438,                0.77182,                0.70853,                0.73624,                0.55695,                 1.1924,                0.81935,                 1.3404,                  1.527,                 1.1361,                 1.2658,              0.0097525,              0.0097525,              0.0097525
                     28,                0.95697,                0.64482,                 1.1394,                 1.4877,                 1.0499,                 1.1532,                0.75191,                0.68516,                 0.7237,                0.50364,                 1.1931,                0.93924,                 1.2793,                 1.5878,                  1.266,                 1.2871,              0.0097426,              0.0097426,              0.0097426
                     29,                0.96323,                0.64125,                 1.1312,                  1.499,                 1.0444,                 1.1422,                0.76805,                0.68725,                0.73143,                0.51849,                 1.2256,                0.86375,                 1.2912,                 1.5602,                 1.1614,                 1.2578,              0.0097327,              0.0097327,              0.0097327
                     30,                0.99189,                0.65281,                 1.1352,                 1.5341,                 1.0688,                 1.1463,                0.76275,                0.67462,                0.71963,                0.52058,                 1.2091,                0.89932,                 1.2773,                 1.5688,                  1.214,                 1.2752,              0.0097228,              0.0097228,              0.0097228
                     31,                0.96353,                0.65171,                 1.1357,                 1.5037,                 1.0634,                 1.1481,                0.74918,                0.67467,                0.72126,                0.54046,                 1.1969,                0.90387,                 1.2658,                 1.5377,                 1.2596,                 1.2403,              0.0097129,              0.0097129,              0.0097129
                     32,                0.96385,                0.64367,                  1.127,                 1.5037,                 1.0519,                 1.1412,                0.76736,                0.71146,                0.73364,                0.56754,                 1.1494,                0.80623,                 1.2755,                 1.5167,                 1.1408,                 1.2409,               0.009703,               0.009703,               0.009703
                     33,                0.97927,                0.65063,                 1.1303,                 1.5209,                 1.0598,                  1.139,                0.76721,                0.64108,                0.71787,                0.49402,                 1.2297,                0.92291,                 1.2768,                 1.5918,                 1.2325,                 1.2764,              0.0096931,              0.0096931,              0.0096931
                     34,                0.97551,                0.64527,                 1.1337,                 1.5194,                 1.0481,                 1.1459,                0.79365,                0.71145,                0.73964,                0.56165,                 1.1517,                 0.8214,                 1.2687,                 1.5048,                 1.1706,                 1.2525,              0.0096832,              0.0096832,              0.0096832
                     35,                0.96648,                0.64207,                 1.1353,                 1.5014,                 1.0462,                 1.1479,                 0.7839,                 0.7019,                0.74332,                0.54074,                 1.1884,                 0.8813,                 1.2483,                  1.531,                  1.187,                 1.2761,              0.0096733,              0.0096733,              0.0096733
                     36,                0.96945,                0.64849,                 1.1287,                 1.5122,                 1.0518,                 1.1401,                0.75297,                0.68503,                0.72651,                0.54118,                 1.1739,                0.83057,                 1.2699,                 1.5449,                 1.1609,                 1.2874,              0.0096634,              0.0096634,              0.0096634
                     37,                0.96708,                  0.641,                   1.13,                 1.5046,                 1.0431,                 1.1392,                0.78126,                0.68801,                0.73013,                0.52384,                 1.2244,                 0.8264,                 1.2965,                 1.5686,                   1.15,                 1.2927,              0.0096535,              0.0096535,              0.0096535
                     38,                0.98058,                0.65651,                 1.1381,                 1.5172,                 1.0644,                 1.1483,                0.77274,                0.72638,                0.74303,                  0.565,                 1.1852,                0.83027,                  1.269,                 1.5213,                 1.1602,                 1.2425,              0.0096436,              0.0096436,              0.0096436
                     39,                0.97413,                0.64754,                 1.1351,                 1.4969,                 1.0546,                 1.1502,                0.79239,                0.70057,                0.74052,                0.55556,                 1.1813,                0.82643,                 1.2989,                 1.5199,                 1.1537,                 1.2569,              0.0096337,              0.0096337,              0.0096337
                     40,                0.97362,                0.64815,                 1.1349,                 1.5269,                 1.0721,                  1.145,                0.78091,                0.69507,                0.73422,                0.55419,                 1.1884,                0.81452,                 1.2725,                 1.5077,                 1.1964,                 1.2563,              0.0096238,              0.0096238,              0.0096238
                     41,                0.96704,                0.63765,                 1.1248,                 1.5155,                 1.0547,                 1.1374,                0.79637,                0.71212,                0.74618,                0.57919,                 1.1677,                0.80367,                 1.2477,                 1.4815,                 1.1151,                 1.2009,              0.0096139,              0.0096139,              0.0096139
                     42,                0.98619,                0.64957,                 1.1402,                 1.5264,                 1.0554,                 1.1488,                0.76119,                0.71477,                0.73975,                0.57608,                 1.1491,                0.84279,                 1.2637,                 1.4632,                 1.1946,                 1.2269,               0.009604,               0.009604,               0.009604
                     43,                0.97744,                0.65208,                 1.1357,                 1.5169,                  1.065,                 1.1446,                0.79957,                0.69428,                0.73732,                0.56724,                 1.1774,                0.81915,                 1.2274,                 1.5222,                 1.1082,                 1.2116,              0.0095941,              0.0095941,              0.0095941
                     44,                0.97628,                 0.6495,                 1.1377,                 1.5143,                  1.058,                 1.1521,                0.80476,                0.71218,                0.74646,                0.56896,                 1.1742,                0.81596,                 1.2678,                 1.5269,                 1.1544,                 1.2285,              0.0095842,              0.0095842,              0.0095842
                     45,                0.97499,                0.64387,                 1.1328,                 1.5123,                 1.0527,                 1.1426,                 0.8096,                0.68509,                0.73174,                0.54881,                 1.1687,                0.84443,                 1.2652,                 1.5049,                 1.1777,                 1.2397,              0.0095743,              0.0095743,              0.0095743
                     46,                0.96287,                0.64489,                 1.1326,                 1.4863,                   1.05,                 1.1421,                0.79049,                0.71502,                0.74481,                0.56078,                  1.191,                0.82504,                 1.2721,                 1.5159,                 1.1208,                 1.2278,              0.0095644,              0.0095644,              0.0095644
                     47,                0.95878,                 0.6365,                  1.124,                 1.5153,                 1.0486,                 1.1358,                0.76702,                0.68284,                0.73168,                0.53345,                 1.1988,                0.86603,                 1.2624,                 1.5346,                 1.1797,                 1.2591,              0.0095545,              0.0095545,              0.0095545
                     48,                0.96482,                0.64213,                 1.1272,                 1.4955,                 1.0426,                 1.1362,                0.77364,                0.68338,                0.73346,                0.51529,                 1.1779,                0.87121,                 1.2144,                 1.5172,                 1.2324,                 1.2208,              0.0095446,              0.0095446,              0.0095446
                     49,                0.97436,                 0.6462,                 1.1312,                 1.5164,                 1.0487,                 1.1372,                0.77343,                0.64392,                0.71971,                0.53177,                  1.174,                0.85983,                 1.2173,                 1.5025,                 1.1897,                 1.2039,              0.0095347,              0.0095347,              0.0095347
                     50,                0.94785,                0.63323,                 1.1237,                 1.4842,                 1.0307,                 1.1348,                0.77979,                0.70485,                0.73843,                0.57855,                 1.1275,                0.80401,                  1.223,                 1.4586,                  1.148,                  1.185,              0.0095248,              0.0095248,              0.0095248
                     51,                0.97086,                0.64377,                  1.138,                 1.5039,                 1.0551,                 1.1516,                0.76652,                0.62959,                0.71957,                0.52899,                 1.1831,                0.83062,                  1.288,                 1.4877,                 1.2226,                 1.2779,              0.0095149,              0.0095149,              0.0095149
                     52,                0.96471,                0.63864,                 1.1343,                 1.4922,                 1.0477,                 1.1448,                0.79946,                0.69061,                0.73902,                0.56515,                  1.141,                0.85137,                 1.2526,                 1.4696,                 1.2101,                 1.2329,               0.009505,               0.009505,               0.009505
                     53,                0.98403,                0.64591,                  1.136,                 1.5179,                 1.0535,                 1.1453,                0.75867,                0.69714,                0.73613,                0.55964,                 1.1665,                0.82308,                 1.2667,                 1.5045,                 1.1609,                  1.228,              0.0094951,              0.0094951,              0.0094951
                     54,                0.95826,                0.63908,                 1.1286,                 1.4989,                 1.0437,                 1.1393,                 0.7805,                0.66059,                0.72956,                0.53851,                 1.1865,                0.85274,                 1.2642,                 1.4932,                 1.2064,                 1.2577,              0.0094852,              0.0094852,              0.0094852
                     55,                0.96021,                0.63287,                 1.1258,                 1.4903,                 1.0296,                 1.1365,                0.80589,                0.60453,                0.71911,                0.52892,                 1.1837,                0.83998,                 1.2311,                 1.5372,                 1.1984,                 1.2326,              0.0094753,              0.0094753,              0.0094753
                     56,                 0.9637,                0.63817,                 1.1264,                 1.5098,                 1.0521,                 1.1379,                0.78282,                0.57937,                0.67766,                0.48154,                 1.2217,                0.89126,                 1.3087,                 1.5838,                 1.2779,                 1.3367,              0.0094654,              0.0094654,              0.0094654
                     57,                0.95331,                 0.6368,                 1.1269,                  1.483,                 1.0367,                 1.1414,                0.78491,                0.71791,                 0.7415,                0.57279,                 1.1446,                0.81674,                 1.2909,                 1.4904,                 1.1138,                 1.2588,              0.0094555,              0.0094555,              0.0094555
                     58,                0.96184,                0.64149,                 1.1316,                 1.5094,                 1.0553,                 1.1466,                0.78543,                0.70726,                0.74137,                0.54856,                 1.1882,                0.84148,                 1.3206,                 1.5293,                 1.1692,                 1.3426,              0.0094456,              0.0094456,              0.0094456
                     59,                0.98063,                0.65273,                  1.139,                 1.5231,                 1.0708,                 1.1484,                0.79623,                0.70756,                0.74468,                0.55438,                 1.1626,                 0.8074,                 1.2651,                  1.518,                 1.1131,                  1.303,              0.0094357,              0.0094357,              0.0094357
                     60,                0.98003,                0.64561,                 1.1268,                 1.5195,                 1.0516,                 1.1359,                0.79559,                0.69036,                0.74052,                0.56127,                 1.1603,                0.80253,                 1.2717,                 1.5081,                 1.1121,                 1.2429,              0.0094258,              0.0094258,              0.0094258
                     61,                0.96696,                0.64023,                 1.1318,                 1.4961,                 1.0386,                 1.1403,                0.69604,                0.57257,                0.65066,                0.41516,                 1.2057,                 0.9003,                 1.2916,                 1.5565,                 1.2936,                  1.289,              0.0094159,              0.0094159,              0.0094159
                     62,                0.95989,                0.63377,                 1.1259,                 1.4969,                 1.0364,                 1.1368,                0.77016,                 0.7094,                0.74008,                0.55582,                 1.1762,                0.82623,                 1.3325,                  1.512,                 1.1682,                 1.2854,               0.009406,               0.009406,               0.009406
                     63,                0.97603,                0.64545,                 1.1318,                 1.5168,                 1.0553,                 1.1457,                0.75111,                0.68439,                 0.7288,                0.53351,                 1.1868,                0.82996,                 1.2816,                 1.5279,                 1.1783,                 1.2717,              0.0093961,              0.0093961,              0.0093961
                     64,                0.97991,                0.64892,                 1.1287,                  1.523,                 1.0536,                 1.1364,                0.77092,                0.65168,                0.71833,                0.53148,                  1.198,                0.85025,                 1.2973,                 1.5341,                 1.2098,                 1.2862,              0.0093862,              0.0093862,              0.0093862
                     65,                 0.9491,                0.63237,                 1.1301,                 1.4741,                 1.0398,                 1.1379,                0.77388,                0.68044,                0.72719,                0.52006,                 1.2006,                0.84534,                 1.3189,                 1.5298,                 1.1852,                 1.3526,              0.0093763,              0.0093763,              0.0093763
                     66,                0.97006,                0.65158,                 1.1355,                 1.5024,                 1.0467,                 1.1453,                0.79728,                0.70705,                0.74274,                0.56251,                 1.1497,                0.79024,                 1.3288,                 1.4922,                 1.1322,                 1.3577,              0.0093664,              0.0093664,              0.0093664
                     67,                0.97437,                0.64174,                 1.1355,                 1.5069,                 1.0459,                 1.1447,                0.75271,                0.70679,                0.74212,                 0.5528,                  1.174,                0.82694,                 1.3158,                 1.5353,                 1.1487,                 1.2891,              0.0093565,              0.0093565,              0.0093565
                     68,                0.95467,                0.63235,                 1.1234,                 1.4933,                  1.038,                 1.1328,                0.75494,                0.66716,                0.72562,                0.54188,                  1.164,                0.82133,                 1.2815,                 1.4939,                 1.1478,                 1.2904,              0.0093466,              0.0093466,              0.0093466
                     69,                0.96726,                0.64056,                 1.1275,                 1.4928,                 1.0323,                 1.1365,                0.74065,                0.69231,                0.73617,                0.55414,                 1.1917,                0.83935,                 1.2828,                 1.5272,                 1.1482,                 1.2541,              0.0093367,              0.0093367,              0.0093367
                     70,                0.95963,                0.63067,                 1.1249,                 1.4943,                 1.0293,                 1.1385,                0.77368,                0.71705,                0.73877,                0.56378,                 1.1523,                0.81388,                 1.2698,                 1.4709,                 1.1133,                 1.2259,              0.0093268,              0.0093268,              0.0093268
                     71,                0.98258,                0.64904,                 1.1305,                 1.5327,                 1.0598,                 1.1382,                 0.7437,                0.71599,                0.74004,                0.54156,                 1.1872,                0.84565,                 1.3197,                 1.5325,                 1.1336,                 1.3478,              0.0093169,              0.0093169,              0.0093169
                     72,                0.97693,                0.64728,                 1.1293,                 1.5221,                 1.0515,                 1.1374,                0.78787,                0.72928,                0.74539,                0.56075,                 1.1925,                0.81996,                 1.3406,                 1.5203,                  1.126,                  1.277,               0.009307,               0.009307,               0.009307
                     73,                0.97314,                 0.6475,                 1.1311,                 1.5079,                  1.049,                 1.1382,                0.77481,                 0.7096,                0.74346,                0.57409,                 1.1321,                0.79579,                 1.2441,                 1.4701,                 1.1492,                 1.2088,              0.0092971,              0.0092971,              0.0092971
                     74,                0.96157,                0.63459,                 1.1285,                 1.4946,                 1.0352,                 1.1345,                 0.7673,                0.71293,                 0.7452,                0.57124,                  1.157,                0.81881,                 1.2466,                 1.4996,                 1.1323,                 1.2417,              0.0092872,              0.0092872,              0.0092872
                     75,                0.96287,                0.63555,                 1.1189,                 1.5037,                 1.0367,                 1.1268,                0.78874,                 0.7201,                0.74745,                0.58327,                 1.1407,                0.81266,                 1.2358,                 1.4705,                 1.0975,                 1.2072,              0.0092773,              0.0092773,              0.0092773
                     76,                0.96281,                0.63612,                 1.1257,                 1.4886,                 1.0376,                 1.1333,                0.79797,                0.70163,                0.74271,                0.57417,                 1.1539,                0.79664,                 1.2749,                 1.4911,                 1.1331,                 1.2677,              0.0092674,              0.0092674,              0.0092674
                     77,                0.94677,                0.62661,                 1.1259,                 1.4699,                 1.0106,                 1.1368,                0.78969,                0.71712,                0.74977,                0.56293,                   1.16,                0.81574,                 1.3257,                 1.5125,                 1.1457,                 1.3591,              0.0092575,              0.0092575,              0.0092575
                     78,                0.95101,                 0.6265,                 1.1249,                 1.4916,                 1.0305,                 1.1342,                0.81175,                0.71152,                0.74997,                0.55627,                 1.1718,                0.80837,                 1.3401,                 1.5193,                 1.1219,                 1.3517,              0.0092476,              0.0092476,              0.0092476
                     79,                0.96988,                0.63791,                 1.1294,                 1.4998,                 1.0351,                 1.1391,                0.80244,                0.71778,                0.74999,                0.57799,                 1.1573,                0.82006,                 1.2439,                 1.4953,                 1.1302,                 1.2163,              0.0092377,              0.0092377,              0.0092377
                     80,                0.96264,                0.63791,                 1.1302,                 1.4881,                 1.0451,                 1.1408,                 0.8135,                0.71179,                0.74207,                0.57284,                 1.1479,                  0.809,                 1.2607,                 1.4759,                 1.1154,                 1.2349,              0.0092278,              0.0092278,              0.0092278
                     81,                 0.9595,                0.62669,                 1.1224,                 1.5066,                 1.0291,                 1.1316,                0.79733,                0.72621,                0.75028,                0.56491,                   1.18,                0.88161,                 1.2715,                 1.5153,                 1.1753,                  1.238,              0.0092179,              0.0092179,              0.0092179
                     82,                0.95981,                0.64014,                 1.1296,                 1.4788,                 1.0303,                 1.1406,                0.79365,                0.68711,                0.73936,                0.55858,                 1.1549,                0.80109,                 1.2323,                 1.5048,                 1.1496,                 1.2288,               0.009208,               0.009208,               0.009208
                     83,                0.96737,                0.63964,                 1.1314,                 1.5038,                 1.0445,                 1.1423,                0.78752,                0.70493,                0.74661,                0.57669,                 1.1332,                0.79126,                 1.2434,                 1.4759,                 1.1332,                 1.2031,              0.0091981,              0.0091981,              0.0091981
                     84,                0.95174,                0.63097,                 1.1289,                 1.4846,                 1.0239,                 1.1429,                0.79109,                0.70615,                0.74429,                0.57019,                 1.1589,                0.80387,                 1.2622,                 1.4751,                 1.1003,                 1.2145,              0.0091882,              0.0091882,              0.0091882
                     85,                0.94672,                0.62884,                 1.1242,                 1.4843,                 1.0271,                 1.1344,                0.77985,                0.67995,                0.73155,                0.54899,                 1.1653,                0.79679,                 1.2753,                 1.4963,                 1.1111,                 1.2587,              0.0091783,              0.0091783,              0.0091783
                     86,                0.96436,                0.63289,                 1.1206,                  1.508,                 1.0383,                 1.1302,                 0.7871,                0.68416,                0.73311,                0.55985,                 1.1665,                0.83807,                 1.2517,                 1.4909,                 1.1946,                 1.2334,              0.0091684,              0.0091684,              0.0091684
                     87,                0.96859,                0.63562,                 1.1262,                 1.5157,                   1.04,                 1.1363,                0.80098,                0.69512,                0.74282,                0.56775,                 1.1378,                0.80888,                 1.2294,                 1.4749,                 1.1223,                 1.2231,              0.0091585,              0.0091585,              0.0091585
                     88,                 0.9491,                0.63257,                  1.127,                 1.4861,                 1.0239,                 1.1372,                0.79689,                0.71507,                0.74989,                0.58301,                 1.1374,                 0.7852,                 1.2399,                 1.4731,                 1.0971,                 1.2143,              0.0091486,              0.0091486,              0.0091486
                     89,                0.96106,                0.63237,                 1.1183,                 1.4982,                 1.0322,                 1.1307,                0.75711,                0.70604,                0.74381,                 0.5772,                 1.1542,                0.81575,                 1.2359,                 1.4683,                 1.1438,                 1.2367,              0.0091387,              0.0091387,              0.0091387
                     90,                0.95436,                0.62883,                 1.1216,                 1.4966,                 1.0271,                 1.1333,                0.80424,                0.71265,                 0.7528,                0.58431,                 1.1405,                0.77967,                 1.2592,                 1.4575,                 1.0952,                 1.2123,              0.0091288,              0.0091288,              0.0091288
                     91,                0.94599,                0.62858,                 1.1203,                 1.4761,                 1.0206,                 1.1323,                0.78554,                0.68272,                0.73737,                0.53861,                  1.208,                 0.8293,                 1.3073,                 1.5378,                 1.1502,                 1.2849,              0.0091189,              0.0091189,              0.0091189
                     92,                 0.9491,                0.62922,                  1.122,                 1.4837,                  1.024,                  1.136,                0.79902,                0.70883,                0.74306,                0.55791,                 1.1533,                0.80504,                 1.2874,                 1.5051,                 1.1141,                 1.3267,               0.009109,               0.009109,               0.009109
                     93,                0.95616,                0.64139,                 1.1244,                 1.4799,                 1.0418,                 1.1378,                0.79856,                0.71684,                0.74689,                0.57753,                   1.15,                0.80697,                 1.2617,                 1.4758,                 1.1092,                 1.2198,              0.0090991,              0.0090991,              0.0090991
                     94,                  0.946,                0.62718,                 1.1226,                 1.4853,                  1.027,                 1.1338,                0.80186,                0.71621,                0.74452,                0.56204,                 1.1536,                0.81156,                 1.3108,                 1.4899,                 1.1081,                 1.3426,              0.0090892,              0.0090892,              0.0090892
                     95,                0.96117,                0.63487,                 1.1218,                 1.4908,                 1.0299,                 1.1313,                0.80124,                0.70912,                0.74797,                0.56805,                 1.1316,                0.80225,                 1.2427,                 1.4873,                 1.1057,                 1.2927,              0.0090793,              0.0090793,              0.0090793
                     96,                0.97445,                0.64196,                 1.1269,                 1.5049,                  1.046,                 1.1323,                0.77235,                0.70525,                  0.742,                0.55893,                  1.161,                0.82488,                 1.2993,                 1.4895,                 1.1344,                 1.2485,              0.0090694,              0.0090694,              0.0090694
                     97,                0.96864,                0.64082,                 1.1313,                 1.4897,                  1.031,                 1.1381,                0.79561,                0.71399,                0.74031,                0.57063,                 1.1647,                0.81184,                 1.2684,                 1.4908,                 1.1641,                 1.2192,              0.0090595,              0.0090595,              0.0090595
                     98,                0.96895,                0.63492,                 1.1256,                 1.5029,                 1.0336,                 1.1357,                0.81188,                0.70544,                 0.7488,                0.58099,                 1.1377,                0.79042,                 1.2798,                 1.4745,                 1.1082,                 1.2336,              0.0090496,              0.0090496,              0.0090496
                     99,                0.94507,                0.62165,                 1.1238,                 1.4726,                 1.0279,                 1.1361,                0.81053,                0.71241,                0.74383,                0.56223,                 1.1501,                0.79202,                 1.2735,                 1.5039,                 1.1051,                 1.2822,              0.0090397,              0.0090397,              0.0090397
                    100,                0.96335,                0.63227,                 1.1266,                   1.49,                 1.0362,                 1.1352,                0.75944,                0.69791,                 0.7318,                0.54384,                 1.1674,                0.81969,                 1.2855,                 1.5062,                 1.1449,                 1.2904,              0.0090298,              0.0090298,              0.0090298
                    101,                0.96759,                0.63872,                 1.1245,                 1.4966,                 1.0424,                  1.134,                0.78826,                0.69092,                0.73924,                0.56477,                 1.1539,                 0.8122,                 1.2443,                 1.4732,                 1.1332,                 1.2027,              0.0090199,              0.0090199,              0.0090199
